1	0.621684
2	0.571469
3	0.545748
4	0.529522
5	0.518192
6	0.509762
7	0.503209
8	0.497951
9	0.493628
10	0.490003
11	0.486918
12	0.484257
13	0.481937
14	0.479896
15	0.478087
16	0.476472
17	0.475022
18	0.473712
19	0.472525
20	0.471442
21	0.470453
22	0.469545
23	0.468709
24	0.467938
25	0.467224
26	0.466561
27	0.465945
28	0.465371
29	0.464835
30	0.464334
31	0.463864
32	0.463423
33	0.463008
34	0.462618
35	0.462251
36	0.461904
37	0.461576
38	0.461266
39	0.460973
40	0.460695
41	0.460431
42	0.460181
43	0.459942
44	0.459716
45	0.459500
46	0.459295
47	0.459099
48	0.458912
49	0.458734
50	0.458563
51	0.458400
52	0.458244
53	0.458109
54	0.457986
55	0.457869
56	0.457757
57	0.457649
58	0.457547
59	0.457448
60	0.457354
61	0.457263
62	0.457176
63	0.457093
64	0.457013
65	0.456936
66	0.456862
67	0.456791
68	0.456723
69	0.456657
70	0.456594
71	0.456534
72	0.456475
73	0.456419
74	0.456364
75	0.456312
76	0.456262
77	0.456213
78	0.456166
79	0.456121
80	0.456077
81	0.456035
82	0.455995
83	0.455955
84	0.455918
85	0.455881
86	0.455846
87	0.455811
88	0.455778
89	0.455746
90	0.455715
91	0.455686
92	0.455657
93	0.455629
94	0.455602
95	0.455575
96	0.455550
97	0.455525
98	0.455502
99	0.455479
100	0.455456
